text,lang,country,Source,Location,Name,Screen_Name,URL,Geo_enabled
RT @sagarikaghose: He failed the exam by 8 marks but examiners declared him “passed” in the hope he will bring them more marks in 15 days.…,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Indian ahmed,aqs101,,False
"RT @Manmohantweets_: ?? ????, ??????, ??????, ????? ?? ????????? ??? ????? ???? ?? ??? ?????? ?? ????? ?? ????? ??? ?? ?? ??? ????????? ???…",hi,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Varanasi, India",avanish maurya,avanishkumarm12,,False
"RT @imaheshgupta: ??????? ?? ??? ??????? ??? ????????? ??????? ?? ?????? ???? ??? ?? ??? ??? ??? ?? ?????  ????? ?? ??? ??? ??!! ?

@Tajind…",hi,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anjar, Gujarat , India",BHARAT?????,BharatGajjarGB,https://m.facebook.com/bharat.gajjar.353,True
shame on u @BJP4India #unconstitutional #KarnatakaVerdict the common man is not blind @narendramodi #shatteredhopesof2014,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Ayush Gupta,sagariph,,False
"RT @dhirendpatel1: ?? ??? ?? logic ????-
?? 10 ??? ?? ????? 2 subject ??? ????? ??? ????? ??? ????? ????? ??? ?? ???? sub ?? ???? ??? ????…",hi,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",New Delhi,Shahbaz Faiz,ShahbazFaiz,,False
"RT @BulletinNewz: ???????? ?? ???? ???????? ?? ?????? ???? ??? ?? ?????? ?????, ?? ???? ??????? 8 ?????? ?
#KarnatakaVerdict #BJP #Congress…",hi,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","New Delhi, India",Mohd. Shuaib,mohdshuaib00,,False
"RT @LambaAlka: M - Murderer 
O - Of 
D - Democracy 
I - In-India 

#KarnatakaVerdict
#ManipurVerdict 
#GoaVerdict 
#Uttrakhand 
#ArunachalP…",en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Etawah Gurgaon Noida Bangalore,Satyamev Jayate,pp4aap,,True
"RT @JagratiShukla29: ?? ??????? CM ?? ?????? ??, #Congress ?? #JDS ??? ?? ??? ??? ?? ......?? ??? #BJP ?? ???? ???? ?? ?????? ??? ???

Via…",hi,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",Udaipur,Kr. Ratan Singh Suratpura,Kr_RatanSinghs,,True
"RT @Misandry_Kills: #Race3Trailer
#KarnatakaVerdict

#FeminismIsMisandry ideology of #FeministMafia will help dem lose their own #Sons due…",en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Monk,Monkfights,,True
RT @just_kashyap: Since congress offered CM post to JDS but now BJP have it and after BJP proving their numbers in house will Congress offe…,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mumbai, India",Mumbai High,HighMumbai,,False
